,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,gps_code,iata_code,keywords
115,318612,TZ-0051,small_airport,Rungwa Airport,-6.935716,33.530089,4110.0,TZ-23,Rungwa,,,
116,318613,TZ-0052,small_airport,Saadani Airport,-6.030896,38.770264,,TZ-19,Saadani,,,
117,318614,TZ-0053,small_airport,Sire Airport,-5.713026,31.83135,,TZ-20,Sire,,,
118,318615,TZ-0054,small_airport,Siwandu Airport,-7.6847,38.136731,195.0,TZ-19,Siwandu,HTZW,,
119,318616,TZ-0055,small_airport,Ngorongoro Airport,-3.221398,35.476965,7795.0,TZ-01,Ngorongoro,,,
120,318617,TZ-0056,small_airport,Alliance Airstrip,-2.602346,33.676018,3800.0,TZ-22,,,,
121,318618,TZ-0057,small_airport,Birise Airport,-5.428612,35.166079,4250.0,TZ-23,Birise,,,
122,318619,TZ-0058,small_airport,Bulyanhulu Airport,-3.2292,32.473316,3944.0,TZ-22,Bubada,HTBN,,
123,318620,TZ-0059,small_airport,Chidudu Airport,-6.565131,35.1737,3670.0,TZ-23,Chidudu,,,
124,318621,TZ-0060,small_airport,Endanyawish Airport,-3.711702,35.270623,4350.0,TZ-01,Endanyawish,,,
125,318622,TZ-0061,small_airport,Golden Pride Mines Airport,-4.080354,33.160212,3789.0,TZ-24,,HTGP,,
126,318623,TZ-0062,small_airport,Gorimba Airport,-4.837753,35.366121,4660.0,TZ-26,Gorimba,,,
127,318624,TZ-0063,small_airport,Gua Airport,-7.868375,32.48466,,TZ-14,Gua,,,
128,318625,TZ-0064,small_airport,Handa Airport,-4.954854,35.323672,4150.0,TZ-23,Handa,,,
129,318626,TZ-0065,small_airport,Harbanget Airport,-3.868369,35.396409,5500.0,TZ-26,Harbanget,,,
130,318627,TZ-0066,small_airport,Haidom Airport,-4.198626,35.018655,5750.0,TZ-26,Haidom,HTHY,,
131,318628,TZ-0067,small_airport,Ibanda Airport,-1.074975,30.51758,4300.0,TZ-05,Ibanda,,,
132,318629,TZ-0068,small_airport,Ifunda Farm Airstrip,-8.070735,35.432556,5744.0,TZ-04,Ifunda,,,
133,318630,TZ-0069,small_airport,Kagera Sugar Airport,-1.233641,31.327325,3830.0,TZ-05,,,,
134,318631,TZ-0070,small_airport,Kapalagulu Airport,-5.904938,30.082868,3500.0,TZ-08,Kapalagulu,,,
135,318632,TZ-0071,small_airport,Kapenta Airport,-8.357716,32.103045,2810.0,TZ-20,Sumbawanga,,,
136,318633,TZ-0072,small_airport,Ihanda Airstrip,-1.552361,31.104871,4900.0,TZ-05,Ihanda,,,
137,318634,TZ-0073,small_airport,Kibebe Airport,-7.797941,35.762345,4725.0,TZ-04,Kibebe,,,
138,318635,TZ-0074,small_airport,Kibidula Airport,-8.412202,35.094073,6281.0,TZ-04,Kibidula,,,
139,318636,TZ-0075,small_airport,Kihansi Airport,-8.653119,35.865055,957.0,TZ-04,Kihansi,,,
140,318637,TZ-0076,small_airport,Kilombero Airport,-7.687751,36.986496,984.0,TZ-16,Kidatu,,,
141,318638,TZ-0077,small_airport,Kilumbi Airport,-6.32536,34.173759,4540.0,TZ-23,Kilumbi,,,
142,318639,TZ-0078,small_airport,Kishoshoroni Airport,-2.015174,35.273109,6100.0,TZ-13,Kishoshoroni,,,
